origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of
Cairo,Ankara,isls,telesat,1015,351,356,8.94 ms,8.94 ms,17.20 ms,17.88 ms,19.54 ms,0.64 ms,199982/200000 (100%),kuiper,630.0,1156.0,1161.0,5.99 ms,5.99 ms,11.71 ms,11.98 ms,14.92 ms,0.27 ms,199989/200000 (100%),starlink,550,1584,1589,5.35 ms,5.35 ms,10.27 ms,10.70 ms,20.61 ms,0.25 ms,199990/200000 (100%),Egypt,Turkey,"90,4398260869565","91,5238260869565","97,3384782608696","1,47730434782609","1108,29700787288","11,0829700787289"
Cairo,Izmir,isls,telesat,1015,351,357,8.24 ms,8.24 ms,15.73 ms,16.48 ms,18.49 ms,0.72 ms,199983/200000 (100%),kuiper,630.0,1156.0,1162.0,5.90 ms,5.90 ms,11.10 ms,11.80 ms,13.33 ms,0.64 ms,199989/200000 (100%),starlink,550,1584,1590,5.03 ms,5.03 ms,9.74 ms,10.05 ms,10.71 ms,0.29 ms,199991/200000 (100%),Egypt,Turkey,"100,496333333333","110,465166666667","138,030666666667","10,756875","1002,93677780401","10,0293677780401"
Limassol,Athens,isls,telesat,1015,354,358,8.31 ms,8.31 ms,15.36 ms,16.62 ms,18.65 ms,1.18 ms,199985/200000 (100%),kuiper,630.0,1159.0,1163.0,5.57 ms,5.57 ms,10.61 ms,11.13 ms,11.90 ms,0.38 ms,199990/200000 (100%),starlink,550,1587,1591,4.81 ms,4.81 ms,9.31 ms,9.62 ms,10.12 ms,0.20 ms,199991/200000 (100%),Cyprus,Greece,"112,238458333333","113,292125","120,469583333333","1,86229166666667","911,249999169078","9,11249999169078"
Ankara,Athens,isls,telesat,1015,356,358,8.42 ms,8.42 ms,15.20 ms,16.84 ms,18.49 ms,1.01 ms,199985/200000 (100%),kuiper,630.0,1161.0,1163.0,5.48 ms,5.48 ms,10.26 ms,10.97 ms,12.25 ms,0.55 ms,199990/200000 (100%),starlink,550,1589,1591,4.58 ms,4.58 ms,8.91 ms,9.15 ms,9.66 ms,0.19 ms,199991/200000 (100%),Turkey,Greece,"76,72475","77,0544583333333","78,863375","0,520583333333333","820,482656722967","8,20482656722967"
Limassol,Izmir,isls,telesat,1015,354,357,8.34 ms,8.34 ms,15.30 ms,16.68 ms,19.26 ms,1.39 ms,199985/200000 (100%),kuiper,630.0,1159.0,1162.0,5.02 ms,5.02 ms,9.65 ms,10.05 ms,10.76 ms,0.29 ms,199991/200000 (100%),starlink,550,1587,1590,4.43 ms,4.43 ms,8.27 ms,8.87 ms,9.97 ms,0.41 ms,199992/200000 (100%),Cyprus,Turkey,"117,2725","126,153166666667","154,329458333333","10,7493333333333","671,620691484909","6,71620691484909"
TelAviv,Jerusalem,isls,telesat,1015,352,353,8.88 ms,8.88 ms,16.21 ms,17.77 ms,19.26 ms,0.91 ms,199981/200000 (100%),kuiper,630.0,1157.0,1158.0,4.65 ms,4.65 ms,8.44 ms,9.31 ms,10.77 ms,0.71 ms,199992/200000 (100%),starlink,550,1585,1586,3.78 ms,3.78 ms,7.13 ms,7.55 ms,8.37 ms,0.33 ms,199993/200000 (100%),Israel,Israel,"2,79258333333333","2,8895","3,24091666666667","0,108083333333333","46,8948414820853","0,468948414820853"
Jerusalem,Athens,isls,telesat,1015,353,358,8.82 ms,8.82 ms,16.73 ms,17.63 ms,20.18 ms,0.96 ms,199983/200000 (100%),kuiper,630.0,1158.0,1163.0,6.39 ms,6.39 ms,12.20 ms,12.79 ms,13.99 ms,0.50 ms,199988/200000 (100%),starlink,550,1586,1591,5.74 ms,5.74 ms,11.08 ms,11.47 ms,14.43 ms,0.62 ms,199989/200000 (100%),Israel,Greece,251921,"252,086083333333","252,819166666667","0,526125","1253,55077781388","12,5355077781388"
Limassol,Beirut,isls,telesat,1015,354,355,8.79 ms,8.79 ms,16.81 ms,17.58 ms,19.12 ms,0.65 ms,199981/200000 (100%),kuiper,630.0,1159.0,1160.0,4.90 ms,4.90 ms,8.81 ms,9.79 ms,11.82 ms,0.88 ms,199992/200000 (100%),starlink,550,1587,1588,3.95 ms,3.95 ms,7.09 ms,7.90 ms,8.84 ms,0.60 ms,199993/200000 (100%),Cyprus,Lebanon,"119,93525","123,993583333333","140,258958333333","4,73004166666667","239,995891847268","2,39995891847268"
Ankara,Izmir,isls,telesat,1015,356,357,8.54 ms,8.54 ms,15.20 ms,17.09 ms,18.93 ms,1.25 ms,199985/200000 (100%),kuiper,630.0,1161.0,1162.0,5.00 ms,5.00 ms,9.19 ms,10.00 ms,11.34 ms,0.59 ms,199991/200000 (100%),starlink,550,1589,1590,4.10 ms,4.10 ms,7.80 ms,8.20 ms,9.31 ms,0.41 ms,199993/200000 (100%),Turkey,Turkey,"19,9151666666667","28,507375","55,7949166666667","10,4827083333333","521,034141223885","5,21034141223885"
TelAviv,Limassol,isls,telesat,1015,352,354,8.66 ms,8.66 ms,16.50 ms,17.31 ms,19.50 ms,0.78 ms,199981/200000 (100%),kuiper,630.0,1157.0,1159.0,5.00 ms,5.00 ms,8.93 ms,9.99 ms,12.01 ms,0.94 ms,199991/200000 (100%),starlink,550,1585,1587,3.96 ms,3.96 ms,7.21 ms,7.92 ms,8.81 ms,0.46 ms,199993/200000 (100%),Israel,Cyprus,"116,794208333333","117,512291666667","123,133625","1,39741666666667","334,689660996318","3,34689660996318"
Jerusalem,Ankara,isls,telesat,1015,353,356,9.29 ms,9.29 ms,18.06 ms,18.59 ms,19.59 ms,0.40 ms,199982/200000 (100%),,,,,,,,,,,,starlink,550,1586,1589,5.02 ms,5.02 ms,9.58 ms,10.03 ms,11.20 ms,0.42 ms,199991/200000 (100%),Israel,Turkey,"98,5175652173913","98,8164782608696","99,9208695652174","0,443043478260869","932,117605683595","9,32117605683595"
Limassol,Tunis,isls,telesat,1015,354,359,10.75 ms,10.75 ms,20.92 ms,21.49 ms,22.98 ms,0.52 ms,199979/200000 (100%),kuiper,630.0,1159.0,1164.0,10.44 ms,10.44 ms,19.40 ms,20.88 ms,24.21 ms,1.07 ms,199979/200000 (100%),starlink,550,1587,1592,10.91 ms,10.91 ms,20.25 ms,21.82 ms,31.66 ms,3.08 ms,199979/200000 (100%),Cyprus,Tunisia,"74,2925833333333","75,6787083333333","84,831625","2,189375","2155,72588699945","21,5572588699945"
TelAviv,Athens,isls,telesat,1015,352,358,8.72 ms,8.72 ms,16.48 ms,17.44 ms,20.15 ms,1.03 ms,199983/200000 (100%),kuiper,630.0,1157.0,1163.0,6.25 ms,6.25 ms,11.93 ms,12.49 ms,13.63 ms,0.49 ms,199988/200000 (100%),starlink,550,1585,1591,5.55 ms,5.55 ms,10.80 ms,11.10 ms,12.62 ms,0.43 ms,199990/200000 (100%),Israel,Greece,"81,383875","81,5597083333333","82,5780833333333","0,374333333333333","1207,70279990194","12,0770279990194"
Cairo,Athens,isls,telesat,1015,351,358,8.30 ms,8.30 ms,15.83 ms,16.59 ms,18.67 ms,0.74 ms,199983/200000 (100%),kuiper,630.0,1156.0,1163.0,6.12 ms,6.12 ms,11.53 ms,12.23 ms,15.19 ms,0.72 ms,199988/200000 (100%),starlink,550,1584,1591,5.31 ms,5.31 ms,10.42 ms,10.63 ms,11.17 ms,0.19 ms,199990/200000 (100%),Egypt,Greece,"100,00725","101,379041666667","114,195791666667","2,81058333333333","1118,35061461242","11,1835061461242"
TelAviv,Beirut,isls,telesat,1015,352,355,8.99 ms,8.99 ms,17.12 ms,17.98 ms,19.26 ms,0.69 ms,199981/200000 (100%),kuiper,630.0,1157.0,1160.0,4.77 ms,4.77 ms,8.56 ms,9.53 ms,11.57 ms,0.89 ms,199992/200000 (100%),starlink,550,1585,1588,3.88 ms,3.88 ms,7.05 ms,7.76 ms,8.77 ms,0.43 ms,199993/200000 (100%),Israel,Lebanon,"99,6420416666667","102,951625","116,630583333333","3,88170833333333","208,06963292449","2,0806963292449"
TelAviv,Izmir,isls,telesat,1015,352,357,8.66 ms,8.66 ms,16.40 ms,17.32 ms,19.80 ms,0.98 ms,199983/200000 (100%),,,,,,,,,,,,starlink,550,1585,1590,5.06 ms,5.06 ms,9.72 ms,10.11 ms,10.83 ms,0.28 ms,199991/200000 (100%),Israel,Turkey,"102,328416666667","110,619041666667","138,157833333333","10,1141666666667","994,76108947979","9,9476108947979"
Cairo,Tunis,isls,telesat,1015,351,359,10.69 ms,10.69 ms,20.58 ms,21.39 ms,23.31 ms,0.78 ms,199979/200000 (100%),kuiper,630.0,1156.0,1164.0,10.63 ms,10.63 ms,20.11 ms,21.25 ms,24.24 ms,0.71 ms,199979/200000 (100%),starlink,550,1584,1592,10.56 ms,10.56 ms,19.23 ms,21.13 ms,25.96 ms,1.64 ms,199979/200000 (100%),Egypt,Tunisia,"72,743125","73,888375","80,1497083333333","1,564875","2085,51023955473","20,8551023955472"
Cairo,Limassol,isls,telesat,1015,351,354,8.24 ms,8.24 ms,15.48 ms,16.49 ms,19.34 ms,1.06 ms,199981/200000 (100%),kuiper,630.0,1156.0,1159.0,4.98 ms,4.98 ms,9.57 ms,9.95 ms,11.13 ms,0.41 ms,199991/200000 (100%),starlink,550,1584,1587,4.19 ms,4.19 ms,7.82 ms,8.38 ms,9.51 ms,0.44 ms,199992/200000 (100%),Egypt,Cyprus,"109,144625","110,5745","119,38975","2,148375","539,956327541035","5,39956327541035"
TelAviv,Ankara,isls,telesat,1015,352,356,9.19 ms,9.19 ms,17.88 ms,18.38 ms,19.44 ms,0.43 ms,199982/200000 (100%),kuiper,630.0,1157.0,1161.0,5.44 ms,5.44 ms,10.47 ms,10.88 ms,11.60 ms,0.28 ms,199990/200000 (100%),starlink,550,1585,1589,4.94 ms,4.94 ms,9.39 ms,9.87 ms,11.02 ms,0.42 ms,199991/200000 (100%),Israel,Turkey,"103,093739130435","103,442956521739","105,967391304348","0,657739130434783","891,452909581334","8,91452909581334"
Beirut,Tunis,isls,telesat,1015,355,359,11.41 ms,11.41 ms,22.31 ms,22.82 ms,24.35 ms,0.52 ms,199977/200000 (100%),kuiper,630.0,1160.0,1164.0,11.27 ms,11.27 ms,20.92 ms,22.54 ms,25.51 ms,0.79 ms,199978/200000 (100%),starlink,550,1588,1592,11.70 ms,11.70 ms,21.44 ms,23.39 ms,32.53 ms,3.77 ms,199968/200000 (100%),Lebanon,Tunisia,"75,0632083333333","78,0005","89,0624583333333","3,0185","2387,27890315932","23,8727890315932"
Jerusalem,Beirut,isls,telesat,1015,353,355,9.03 ms,9.03 ms,17.10 ms,18.07 ms,19.02 ms,0.59 ms,199981/200000 (100%),kuiper,630.0,1158.0,1160.0,4.75 ms,4.75 ms,8.59 ms,9.51 ms,11.47 ms,0.85 ms,199992/200000 (100%),starlink,550,1586,1588,3.89 ms,3.89 ms,7.16 ms,7.77 ms,8.81 ms,0.41 ms,199993/200000 (100%),Israel,Lebanon,"112,909666666667","116,096166666667","130,450833333333","3,89145833333333","236,988589766879","2,36988589766879"
Beirut,Izmir,isls,telesat,1015,355,357,8.75 ms,8.75 ms,16.38 ms,17.51 ms,19.79 ms,1.15 ms,199983/200000 (100%),kuiper,630.0,1160.0,1162.0,5.44 ms,5.44 ms,10.58 ms,10.88 ms,11.58 ms,0.24 ms,199990/200000 (100%),starlink,550,1588,1590,4.96 ms,4.96 ms,9.27 ms,9.93 ms,10.77 ms,0.46 ms,199991/200000 (100%),Lebanon,Turkey,"106,619416666667","117,7735","147,581541666667","11,0290833333333","901,159549882732","9,01159549882733"
Cairo,TelAviv,isls,telesat,1015,351,352,8.51 ms,8.51 ms,15.22 ms,17.02 ms,20.91 ms,1.62 ms,199980/200000 (100%),kuiper,630.0,1156.0,1157.0,4.67 ms,4.67 ms,8.89 ms,9.34 ms,10.05 ms,0.30 ms,199991/200000 (100%),starlink,550,1584,1585,3.99 ms,3.99 ms,7.38 ms,7.98 ms,8.88 ms,0.41 ms,199992/200000 (100%),Egypt,Israel,"98,8215833333333","99,8837916666667","106,0435","1,53775","414,813672905238","4,14813672905238"
